1,1,1228,2
2,1,1849,1
3,1,1848,2
4,1,1377,2
5,1,1382,2
6,1,1853,3
7,1,1378,3
8,1,1844,2
9,1,1233,3
10,1,1845,1
11,1,1380,3
12,1,1374,1
13,1,1852,3
14,1,1231,3
15,1,1232,3
16,1,1230,1
17,1,1227,2
18,1,1226,1
19,2,507,3
20,2,1579,2
21,3,1362,3
22,3,1361,2
23,3,1356,3
24,3,1360,1
25,3,1357,3
26,3,1359,2
27,3,1354,1
28,3,1363,2
29,3,1355,2
30,3,1358,2
31,4,952,2
32,4,1917,3
33,4,344,2
34,4,2070,3
35,4,1918,2
36,4,2067,2
37,4,1914,2
38,4,1923,3
39,4,1919,2
40,4,347,3
41,5,790,2
42,5,1871,2
43,5,793,3
44,5,1868,1
45,5,1873,2
46,5,1867,1
47,5,1872,1
48,5,1866,3
49,5,789,3
50,5,784,2
51,5,787,3
52,5,1864,1
53,6,1398,2
54,6,1403,1
55,6,1400,3
56,7,557,2
57,8,276,2
58,8,279,2
59,8,277,3
60,8,691,2
61,8,272,3
62,8,692,2
63,9,2057,2
64,9,768,1
65,9,171,3
66,9,175,2
67,9,2061,3
68,9,353,3
69,9,178,1
70,9,770,1
71,9,2056,2
72,9,179,1
73,10,131,1
74,10,136,2
75,10,139,3
76,10,793,3
77,10,784,3
78,10,133,2
79,10,138,3
80,10,132,2
81,10,788,1
82,10,792,1
83,10,137,1
84,10,140,3
85,10,791,1
86,10,786,3
87,11,1083,2
88,11,1076,3
89,11,1074,3
90,11,1080,3
91,11,275,1
92,11,271,2
93,11,1075,2
94,11,1411,3
95,12,450,2
96,13,1877,3
97,13,1875,1
98,13,150,2
99,13,1876,1
100,13,144,3
101,13,141,1
102,13,1882,3
103,13,149,2
104,13,145,2
105,14,1307,1
106,14,86,1
107,14,840,2
108,14,1305,3
109,14,85,3
110,14,838,2
111,14,841,2
112,14,1306,2
113,14,1309,3
114,14,89,1
115,14,83,1
116,14,1310,1
117,14,87,1
118,14,839,2
119,14,842,1
120,14,82,2
121,14,1308,3
122,14,1304,3
123,14,1312,3
124,14,1313,1
125,14,1311,2
126,14,88,3
127,14,836,1
128,14,834,3
129,15,1627,1
130,15,1632,3
131,15,2036,3
132,15,1631,1
133,15,1633,3
134,15,1538,2
135,15,1628,2
136,15,2034,2
137,15,1629,2
138,15,2038,3
139,15,1540,1
140,15,2043,2
141,16,655,1
142,16,151,1
143,16,153,2
144,16,157,2
145,16,1522,1
146,16,1521,3
147,16,660,1
148,16,657,1
